epoch,loss,reconstruction_loss,divergence_loss,test_loss,test_rec,test_div,epochs,batch_size,save_on,n_emb,n_lay,lr,lrelu_slope,batch_norm,dropout,dataset,model_folder,dataset_size,join,refresh_data_on,save_losses_on,test_dataset,test_size,main_folder,losses_file,run
8,1161.1278475,1106.4243672500002,54.703498225,2388.9319125,2350.1688675,38.7630872,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
9,990.8616145,934.731459,56.130155625,2370.7282800000003,2332.172495,38.5557923,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
10,871.0595195,815.08003925,55.979480650000006,2353.5604075,2315.46297,38.0974295,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
11,778.27159825,723.1460785,55.125517824999996,2338.7990825,2301.4028975,37.396176025,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
12,709.043807,655.2755267499999,53.76828055,2324.1226025,2287.4871175,36.63550065,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
13,640.94657675,588.57727675,52.36930235,2297.71391,2261.7410075,35.972929549999996,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
14,607.660314,556.5320425,51.1282753,2291.2614225,2256.1247974999997,35.136622725,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
15,558.566435,508.41435549999994,50.152083850000004,2276.4476999999997,2241.8677625,34.579937825,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
16,522.8094805,473.72650274999995,49.08297715,2266.8193425,2232.531775,34.2875768,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
17,489.75104300000004,441.72699825,48.024046125,2255.3221949999997,2221.5287925000002,33.793432474999996,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
18,460.60057225,413.638854,46.961716325,2244.6755925,2211.2012975000002,33.474284999999995,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
19,434.3924065,388.21932649999997,46.173081175,2234.6556075,2201.6518575,33.0037577,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
20,420.56108350000005,375.22409625,45.33698695,2225.8801725000003,2193.4322475,32.44790805,32,256,0,32,5,0.0001,0.1,False,0.0,./data/samples/single_cells/agren_liver_hepatocytes/splits/250/1,./data/samples/single_cells/agren_liver_hepatocytes/250/,65536,inner,0,1,./data/samples/single_cells/agren_liver_hepatocytes/splits/250//test/,4096,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1,./data/tuner/single_cell/agren_liver_hepatocytes/rep_250/runs/1/losses.csv,1
